month,mld_tl,mld_th,temp_tl,temp_th,salinity_tl,salinity_th,sth_tl,sth_th,N2
jan,38.39,42.95,25.9467,25.8737,36.1458,36.1482,23.9176,23.9424,0.0000522002
feb,32.76,35.81,27.0408,26.8742,36.1732,36.1856,23.5907,23.6536,0.0001967412
mar,30.74,35.81,28.0971,27.7564,36.1377,36.1773,23.2203,23.362,0.0002665288
apr,33.79,37.84,28.5844,28.2367,36.066,36.1051,23.0052,23.1484,0.0003407869
may,41.41,45.48,28.0225,27.8569,35.8568,35.9097,23.0344,23.1288,0.0002207850
jun,52.18,57.03,27.2203,26.8927,35.8841,35.9325,23.3168,23.457,0.0002789313
jul,48.85,59.35,25.6055,25.0434,35.8467,35.9189,23.7989,24.0247,0.0002071947
aug,54.47,58.07,24.3404,24.0206,35.9241,35.9377,24.244,24.3486,0.0002811433
sep,46.3,55.24,24.081,23.7895,35.9545,35.9778,24.3441,24.449,0.0001117843
oct,45.25,51.61,24.3452,24.0201,35.9894,36.0015,24.2918,24.3979,0.0001601347
nov,48.82,54.69,24.7571,24.2947,36.0491,36.055,24.21,24.3538,0.0002346296
dec,49.86,52.66,25.2601,25.0469,36.1108,36.1097,24.1032,24.1677,0.0002205939
